String,Probability Of Repetition,Execution Time (ns),Solutions Found,Method Cost
ζΛφ$,0,757227,1,96
εEψw,0,2789689,1,246
ΨHo%,0,2681730,1,284
KWTQ,0,1255831,1,136
ΞΦωM,0,3536119,1,314
κΞωΨ,0,777889,1,96
jiUR,0,4255732,1,427
θpdR,0,4397644,1,427
ΩuιΠ,0,3497904,1,349
9ηJΛ,0,732930,1,96
σ5Nh,0,3331515,1,349
aα0%,0,2018307,1,209
C6RZ,0,2706824,1,171
toβ3,0,4722604,1,276
hnSu,0,3215438,1,209
8k9R,0,1126139,1,126
lIQλ,0,2671142,1,284
zZπ9,0,2611191,1,276
ΓFΔb,0,2209204,1,246
πψηΔ,0,1943129,1,209
XLrJ,0,2560171,1,276
aψZo,0,2062467,1,239
#ωπζ,0,4408523,1,427
Σp2b,0,11957222,1,417
Λpβφ,0,3828761,1,349
Ω0Πn,0,3399526,1,359
ΞθS%,0,2956512,1,322
EaBs,0,1900565,1,209
rUγσ,0,1540290,1,171
9jmM,0,1499770,1,98
νΓΣ8,0,2475446,1,163
JYGΩ,0,2819459,1,209
nP3Z,0,4334265,1,387
Σ%mg,0,2921380,1,314
G6lR,0,1761698,1,181
yβμO,0,1759340,1,163
φ3eq,0,3322860,1,349
λ5WJ,0,3987052,1,359
3MφG,0,1493997,1,98
ΣxΔ1,0,4030628,1,389
3κsq,0,1720235,1,136
t41$,0,3715716,1,322
kUAe,0,4266745,1,387
pχn0,0,3276381,1,314
σuJΔ,0,3036432,1,322
6$Af,0,1074422,1,126
tζbY,0,3512711,1,314
t0θπ,0,1593467,1,171
σNαX,0,3684131,1,359
OATK,0,2884199,1,246
ηlAB,0,3719056,1,417
κΠbi,0,2755777,1,304
qJμl,0,2537142,1,246
φSBυ,0,5251580,1,387
